Nodi 48
0 1 4
0 2 6
0 3 5
0 4 5
0 5 7
0 6 4
0 7 6
0 8 3
0 9 7
0 10 7
0 11 4
0 12 4
0 13 5
0 14 3
0 15 4
0 16 6
0 17 5
0 18 5
0 19 6
0 20 5
0 21 6
0 22 5
0 23 2
0 24 5
0 25 5
0 26 2
0 27 6
0 28 4
0 29 6
0 30 4
0 31 8
0 32 6
0 33 7
0 34 5
0 35 4
0 36 2
0 37 5
0 38 7
0 39 7
0 40 5
0 41 6
0 42 5
0 43 6
0 44 4
0 45 7
0 46 6
0 47 4
1 2 4
1 3 2
1 4 4
1 5 7
1 6 4
1 7 2
1 8 2
1 9 5
1 10 4
1 11 2
1 12 5
1 13 4
1 14 6
1 15 4
1 16 4
1 17 5
1 18 4
1 19 5
1 20 4
1 21 5
1 22 5
1 23 5
1 24 4
1 25 4
1 26 2
1 27 5
1 28 3
1 29 3
1 30 4
1 31 5
1 32 2
1 33 3
1 34 4
1 35 4
1 36 5
1 37 7
1 38 7
1 39 5
1 40 4
1 41 6
1 42 4
1 43 6
1 44 4
1 45 5
1 46 2
1 47 4
2 3 2
2 4 5
2 5 6
2 6 6
2 7 2
2 8 4
2 9 3
2 10 4
2 11 5
2 12 5
2 13 5
2 14 4
2 15 5
2 16 5
2 17 6
2 18 6
2 19 6
2 20 6
2 21 4
2 22 4
2 23 4
2 24 4
2 25 4
2 26 4
2 27 5
2 28 2
2 29 4
2 30 4
2 31 5
2 32 6
2 33 5
2 34 6
2 35 5
2 36 6
2 37 5
2 38 7
2 39 7
2 40 5
2 41 6
2 42 4
2 43 5
2 44 6
2 45 7
2 46 6
2 47 6
3 4 5
3 5 6
3 6 6
3 7 4
3 8 2
3 9 5
3 10 2
3 11 3
3 12 6
3 13 4
3 14 6
3 15 4
3 16 5
3 17 6
3 18 4
3 19 5
3 20 6
3 21 4
3 22 5
3 23 5
3 24 2
3 25 6
3 26 4
3 27 3
3 28 2
3 29 4
3 30 2
3 31 6
3 32 4
3 33 5
3 34 4
3 35 4
3 36 4
3 37 7
3 38 7
3 39 6
3 40 5
3 41 4
3 42 4
3 43 7
3 44 6
3 45 5
3 46 4
3 47 5
4 5 7
4 6 6
4 7 6
4 8 4
4 9 2
4 10 7
4 11 2
4 12 5
4 13 6
4 14 4
4 15 5
4 16 4
4 17 5
4 18 6
4 19 6
4 20 7
4 21 7
4 22 6
4 23 4
4 24 5
4 25 5
4 26 3
4 27 4
4 28 5
4 29 6
4 30 5
4 31 8
4 32 6
4 33 7
4 34 5
4 35 5
4 36 3
4 37 6
4 38 8
4 39 7
4 40 6
4 41 4
4 42 6
4 43 2
4 44 5
4 45 5
4 46 5
4 47 5
5 6 5
5 7 7
5 8 6
5 9 7
5 10 5
5 11 7
5 12 7
5 13 7
5 14 7
5 15 6
5 16 8
5 17 4
5 18 4
5 19 6
5 20 9
5 21 8
5 22 2
5 23 6
5 24 4
5 25 7
5 26 5
5 27 7
5 28 6
5 29 5
5 30 7
5 31 3
5 32 7
5 33 7
5 34 7
5 35 5
5 36 7
5 37 4
5 38 8
5 39 8
5 40 8
5 41 7
5 42 6
5 43 7
5 44 7
5 45 5
5 46 7
5 47 7
6 7 6
6 8 5
6 9 5
6 10 8
6 11 6
6 12 8
6 13 7
6 14 5
6 15 5
6 16 5
6 17 5
6 18 7
6 19 5
6 20 8
6 21 4
6 22 7
6 23 2
6 24 6
6 25 7
6 26 5
6 27 7
6 28 6
6 29 6
6 30 7
6 31 8
6 32 6
6 33 3
6 34 4
6 35 7
6 36 6
6 37 7
6 38 6
6 39 6
6 40 7
6 41 6
6 42 4
6 43 7
6 44 4
6 45 3
6 46 2
6 47 6
7 8 3
7 9 5
7 10 2
7 11 4
7 12 7
7 13 5
7 14 4
7 15 6
7 16 6
