Nodi 47
0 1 10
0 2 4
0 3 2
0 4 7
0 5 4
0 6 6
0 7 5
0 8 6
0 9 7
0 10 5
0 11 6
0 12 5
0 13 4
0 14 5
0 15 8
0 16 5
0 17 4
0 18 6
0 19 7
0 20 6
0 21 4
0 22 4
0 23 7
0 24 6
0 25 6
0 26 6
0 27 7
0 28 4
0 29 4
0 30 7
0 31 6
0 32 5
0 33 6
0 34 8
0 35 3
0 36 2
0 37 7
0 38 6
0 39 6
0 40 5
0 41 5
0 42 7
0 43 8
0 44 8
0 45 4
0 46 6
1 2 6
1 3 8
1 4 8
1 5 6
1 6 8
1 7 8
1 8 7
1 9 8
1 10 9
1 11 8
1 12 5
1 13 8
1 14 9
1 15 6
1 16 6
1 17 6
1 18 4
1 19 5
1 20 8
1 21 10
1 22 7
1 23 7
1 24 6
1 25 6
1 26 6
1 27 9
1 28 7
1 29 6
1 30 7
1 31 8
1 32 8
1 33 8
1 34 5
1 35 7
1 36 8
1 37 8
1 38 7
1 39 4
1 40 8
1 41 9
1 42 8
1 43 5
1 44 8
1 45 9
1 46 8
2 3 2
2 4 5
2 5 4
2 6 3
2 7 5
2 8 6
2 9 7
2 10 6
2 11 4
2 12 6
2 13 4
2 14 5
2 15 7
2 16 5
2 17 4
2 18 6
2 19 7
2 20 6
2 21 7
2 22 4
2 23 7
2 24 6
2 25 3
2 26 6
2 27 7
2 28 5
2 29 4
2 30 7
2 31 4
2 32 4
2 33 6
2 34 7
2 35 4
2 36 2
2 37 8
2 38 5
2 39 6
2 40 4
2 41 6
2 42 6
2 43 5
2 44 8
2 45 4
2 46 2
3 4 6
3 5 6
3 6 5
3 7 5
3 8 4
3 9 5
3 10 5
3 11 6
3 12 4
3 13 2
3 14 5
3 15 8
3 16 5
3 17 2
3 18 4
3 19 5
3 20 4
3 21 5
3 22 3
3 23 6
3 24 4
3 25 4
3 26 5
3 27 6
3 28 5
3 29 2
3 30 5
3 31 5
3 32 4
3 33 4
3 34 6
3 35 2
3 36 4
3 37 6
3 38 4
3 39 4
3 40 4
3 41 4
3 42 6
3 43 6
3 44 6
3 45 6
3 46 4
4 5 6
4 6 5
4 7 4
4 8 6
4 9 7
4 10 3
4 11 4
4 12 7
4 13 4
4 14 6
4 15 9
4 16 6
4 17 5
4 18 6
4 19 3
4 20 4
4 21 4
4 22 5
4 23 4
4 24 3
4 25 5
4 26 6
4 27 5
4 28 5
4 29 6
4 30 3
4 31 4
4 32 7
4 33 6
4 34 5
4 35 6
4 36 7
4 37 4
4 38 5
4 39 5
4 40 4
4 41 2
4 42 5
4 43 7
